"기준년","대업종","중업종","규모","지방관서","공사금액","사업장수","근로자수"
2019,0,000,11,2000,J,1299,2013
2019,0,000,11,2010,J,1101,1855
2019,0,000,11,2020,J,571,815
2019,0,000,11,2030,J,483,769
2019,0,000,11,2040,J,747,1224
2019,0,000,11,2050,J,301,444
2019,0,000,11,2060,J,366,575
2019,0,000,11,2070,J,262,455
2019,0,000,11,2110,J,98,182
2019,0,000,11,2120,J,23,45
2019,0,000,11,2130,J,156,345
2019,0,000,11,2140,J,65,116
2019,0,000,11,2150,J,21,20
2019,0,000,11,3000,J,815,1588
2019,0,000,11,3010,J,162,236
2019,0,000,11,3020,J,72,147
2019,0,000,11,3110,J,338,655
2019,0,000,11,3120,J,220,421
2019,0,000,11,3130,J,136,266
2019,0,000,11,3140,J,215,419
2019,0,000,11,3150,J,72,125
2019,0,000,11,4000,J,497,847
2019,0,000,11,4010,J,241,429
2019,0,000,11,4110,J,200,412
2019,0,000,11,4120,J,130,280
2019,0,000,11,4130,J,94,169
2019,0,000,11,4140,J,104,227
2019,0,000,11,5000,J,336,517
2019,0,000,11,5010,J,238,430
2019,0,000,11,5110,J,372,649
2019,0,000,11,5120,J,239,358
2019,0,000,11,5130,J,274,505
2019,0,000,11,5140,J,182,357
2019,0,000,11,5160,J,322,516
2019,0,000,11,5170,J,103,155
2019,0,000,11,5180,J,244,354
2019,0,000,11,6000,J,457,803
2019,0,000,11,6110,J,306,676
2019,0,000,11,6120,J,74,153
2019,0,000,11,6130,J,94,224
2019,0,000,11,6210,J,181,220
2019,0,000,11,6220,J,173,365
2019,0,000,11,6310,J,194,373
2019,0,000,11,7000,J,494,890
2019,0,000,11,7110,J,251,513
2019,0,000,11,7120,J,96,204
2019,0,000,11,7210,J,172,325
2019,0,000,11,7220,J,152,329
2019,0,000,11,7230,J,79,154
2019,0,000,12,2000,J,522,3713
2019,0,000,12,2010,J,385,2636
2019,0,000,12,2020,J,247,1800
2019,0,000,12,2030,J,197,1362
2019,0,000,12,2040,J,307,2117
2019,0,000,12,2050,J,159,1194
2019,0,000,12,2060,J,193,1354
2019,0,000,12,2070,J,190,1329
2019,0,000,12,2110,J,73,509
2019,0,000,12,2120,J,19,134
2019,0,000,12,2130,J,90,610
2019,0,000,12,2140,J,70,493
2019,0,000,12,2150,J,26,172
2019,0,000,12,3000,J,369,2490
2019,0,000,12,3010,J,169,1257
2019,0,000,12,3020,J,92,664
2019,0,000,12,3110,J,208,1401
2019,0,000,12,3120,J,211,1394
2019,0,000,12,3130,J,115,798
2019,0,000,12,3140,J,185,1234
2019,0,000,12,3150,J,76,527
2019,0,000,12,4000,J,455,3193
2019,0,000,12,4010,J,228,1627
2019,0,000,12,4110,J,193,1309
2019,0,000,12,4120,J,95,658
2019,0,000,12,4130,J,61,415
2019,0,000,12,4140,J,62,456
2019,0,000,12,5000,J,184,1282
2019,0,000,12,5010,J,121,884
2019,0,000,12,5110,J,237,1739
2019,0,000,12,5120,J,126,903
2019,0,000,12,5130,J,154,1107
2019,0,000,12,5140,J,94,632
2019,0,000,12,5160,J,199,1384
2019,0,000,12,5170,J,67,500
2019,0,000,12,5180,J,177,1215
2019,0,000,12,6000,J,428,2983
2019,0,000,12,6110,J,289,1954
2019,0,000,12,6120,J,74,524
2019,0,000,12,6130,J,76,505
2019,0,000,12,6210,J,115,781
2019,0,000,12,6220,J,202,1378
2019,0,000,12,6310,J,179,1227
2019,0,000,12,7000,J,422,2873
2019,0,000,12,7110,J,189,1331
2019,0,000,12,7120,J,87,567
2019,0,000,12,7210,J,128,901
2019,0,000,12,7220,J,118,753
2019,0,000,12,7230,J,70,462
2019,0,000,13,2000,J,949,12887
2019,0,000,13,2010,J,662,8814
2019,0,000,13,2020,J,414,5404
2019,0,000,13,2030,J,322,4466
2019,0,000,13,2040,J,420,5754
2019,0,000,13,2050,J,295,3828
2019,0,000,13,2060,J,260,3496
2019,0,000,13,2070,J,185,2427
2019,0,000,13,2110,J,87,1161
2019,0,000,13,2120,J,18,238
2019,0,000,13,2130,J,102,1305
2019,0,000,13,2140,J,69,927
2019,0,000,13,2150,J,16,219
2019,0,000,13,3000,J,476,6571
2019,0,000,13,3010,J,210,2846
2019,0,000,13,3020,J,86,1172
2019,0,000,13,3110,J,230,3114
2019,0,000,13,3120,J,197,2513
2019,0,000,13,3130,J,123,1562
2019,0,000,13,3140,J,158,2205
2019,0,000,13,3150,J,81,1049
2019,0,000,13,4000,J,415,5549
2019,0,000,13,4010,J,201,2712
2019,0,000,13,4110,J,147,1980
2019,0,000,13,4120,J,90,1211
2019,0,000,13,4130,J,61,842
2019,0,000,13,4140,J,63,849
2019,0,000,13,5000,J,242,3264
2019,0,000,13,5010,J,211,2750
2019,0,000,13,5110,J,376,4911
2019,0,000,13,5120,J,139,1837
2019,0,000,13,5130,J,242,3255
2019,0,000,13,5140,J,96,1259
2019,0,000,13,5160,J,214,2802
2019,0,000,13,5170,J,76,1033
2019,0,000,13,5180,J,148,2027
2019,0,000,13,6000,J,409,5425
2019,0,000,13,6110,J,238,3133
2019,0,000,13,6120,J,87,1180
2019,0,000,13,6130,J,80,1019
2019,0,000,13,6210,J,135,1825
2019,0,000,13,6220,J,203,2637
2019,0,000,13,6310,J,133,1764
2019,0,000,13,7000,J,459,6226
2019,0,000,13,7110,J,241,3208
2019,0,000,13,7120,J,85,1150
2019,0,000,13,7210,J,132,1805
2019,0,000,13,7220,J,85,1179
2019,0,000,13,7230,J,40,530
2019,0,000,21,2000,J,488,11566
2019,0,000,21,2010,J,289,6689
2019,0,000,21,2020,J,146,3514
2019,0,000,21,2030,J,156,3681
2019,0,000,21,2040,J,171,4016
2019,0,000,21,2050,J,90,2184
2019,0,000,21,2060,J,86,2041
2019,0,000,21,2070,J,74,1779
2019,0,000,21,2110,J,47,1136
2019,0,000,21,2120,J,8,192
2019,0,000,21,2130,J,37,877
2019,0,000,21,2140,J,29,698
2019,0,000,21,2150,J,14,341
2019,0,000,21,3000,J,208,4946
2019,0,000,21,3010,J,50,1184
2019,0,000,21,3020,J,27,660
2019,0,000,21,3110,J,89,2102
2019,0,000,21,3120,J,87,2012
2019,0,000,21,3130,J,24,566
2019,0,000,21,3140,J,69,1634
2019,0,000,21,3150,J,24,582
2019,0,000,21,4000,J,181,4301
2019,0,000,21,4010,J,85,2010
2019,0,000,21,4110,J,68,1616
2019,0,000,21,4120,J,36,850
2019,0,000,21,4130,J,33,763
2019,0,000,21,4140,J,32,756
2019,0,000,21,5000,J,84,2031
2019,0,000,21,5010,J,64,1550
2019,0,000,21,5110,J,109,2599
2019,0,000,21,5120,J,55,1303
2019,0,000,21,5130,J,64,1472
2019,0,000,21,5140,J,42,1002
2019,0,000,21,5160,J,78,1858
2019,0,000,21,5170,J,45,1108
2019,0,000,21,5180,J,52,1209
2019,0,000,21,6000,J,161,3879
2019,0,000,21,6110,J,92,2178
2019,0,000,21,6120,J,37,876
2019,0,000,21,6130,J,33,795
2019,0,000,21,6210,J,53,1255
2019,0,000,21,6220,J,88,2133
2019,0,000,21,6310,J,49,1189
2019,0,000,21,7000,J,173,4150
2019,0,000,21,7110,J,73,1731
2019,0,000,21,7120,J,28,674
2019,0,000,21,7210,J,68,1630
2019,0,000,21,7220,J,19,443
2019,0,000,21,7230,J,14,332
2019,0,000,22,2000,J,345,12777
2019,0,000,22,2010,J,167,6269
2019,0,000,22,2020,J,68,2534
2019,0,000,22,2030,J,93,3350
2019,0,000,22,2040,J,110,4103
2019,0,000,22,2050,J,58,2034
2019,0,000,22,2060,J,64,2347
2019,0,000,22,2070,J,65,2523
2019,0,000,22,2110,J,42,1534
2019,0,000,22,2120,J,13,455
2019,0,000,22,2130,J,35,1271
2019,0,000,22,2140,J,24,843
2019,0,000,22,2150,J,7,265
2019,0,000,22,3000,J,157,5780
2019,0,000,22,3010,J,25,948
2019,0,000,22,3020,J,17,647
2019,0,000,22,3110,J,87,3186
2019,0,000,22,3120,J,76,2835
2019,0,000,22,3130,J,29,1065
2019,0,000,22,3140,J,52,1915
2019,0,000,22,3150,J,35,1275
2019,0,000,22,4000,J,128,4704
2019,0,000,22,4010,J,52,1879
2019,0,000,22,4110,J,40,1496
2019,0,000,22,4120,J,37,1378
2019,0,000,22,4130,J,21,835
2019,0,000,22,4140,J,14,569
2019,0,000,22,5000,J,62,2223
2019,0,000,22,5010,J,77,2941
2019,0,000,22,5110,J,89,3242
2019,0,000,22,5120,J,35,1291
2019,0,000,22,5130,J,70,2677
2019,0,000,22,5140,J,33,1198
2019,0,000,22,5160,J,55,1973
2019,0,000,22,5170,J,22,793
2019,0,000,22,5180,J,39,1457
2019,0,000,22,6000,J,125,4744
2019,0,000,22,6110,J,66,2454
2019,0,000,22,6120,J,21,708
2019,0,000,22,6130,J,19,687
2019,0,000,22,6210,J,43,1695
2019,0,000,22,6220,J,98,3710
2019,0,000,22,6310,J,45,1681
2019,0,000,22,7000,J,151,5508
2019,0,000,22,7110,J,64,2297
2019,0,000,22,7120,J,19,716
2019,0,000,22,7210,J,40,1389
2019,0,000,22,7220,J,16,574
2019,0,000,22,7230,J,11,410
2019,0,000,31,2000,J,215,14732
2019,0,000,31,2010,J,121,8027
2019,0,000,31,2020,J,32,2128
2019,0,000,31,2030,J,65,4199
2019,0,000,31,2040,J,74,5025
2019,0,000,31,2050,J,29,1850
2019,0,000,31,2060,J,21,1494
2019,0,000,31,2070,J,33,1977
2019,0,000,31,2110,J,10,637
2019,0,000,31,2120,J,1,74
2019,0,000,31,2130,J,8,480
2019,0,000,31,2140,J,9,556
2019,0,000,31,3000,J,70,4564
2019,0,000,31,3010,J,12,870
2019,0,000,31,3020,J,7,461
2019,0,000,31,3110,J,31,2089
2019,0,000,31,3120,J,25,1595
2019,0,000,31,3130,J,12,697
2019,0,000,31,3140,J,9,534
2019,0,000,31,3150,J,8,541
2019,0,000,31,4000,J,72,4651
2019,0,000,31,4010,J,16,1119
2019,0,000,31,4110,J,18,1127
2019,0,000,31,4120,J,9,568
2019,0,000,31,4130,J,5,296
2019,0,000,31,4140,J,5,263
2019,0,000,31,5000,J,22,1425
2019,0,000,31,5010,J,35,2121
2019,0,000,31,5110,J,51,3489
2019,0,000,31,5120,J,19,1158
2019,0,000,31,5130,J,13,800
2019,0,000,31,5140,J,10,634
2019,0,000,31,5160,J,39,2508
2019,0,000,31,5170,J,14,948
2019,0,000,31,5180,J,27,1729
2019,0,000,31,6000,J,54,3529
2019,0,000,31,6110,J,27,1734
2019,0,000,31,6120,J,8,499
2019,0,000,31,6130,J,7,441
2019,0,000,31,6210,J,14,838
2019,0,000,31,6220,J,40,2544
2019,0,000,31,6310,J,12,805
2019,0,000,31,7000,J,52,3441
2019,0,000,31,7110,J,21,1282
2019,0,000,31,7120,J,6,372
2019,0,000,31,7210,J,19,1259
2019,0,000,31,7220,J,7,452
2019,0,000,31,7230,J,4,227
2019,0,000,43,2000,J,107,15499
2019,0,000,43,2010,J,50,7251
2019,0,000,43,2020,J,16,2608
2019,0,000,43,2030,J,28,4585
2019,0,000,43,2040,J,60,10951
2019,0,000,43,2050,J,8,1114
2019,0,000,43,2060,J,10,1265
2019,0,000,43,2070,J,6,687
2019,0,000,43,2110,J,8,1542
2019,0,000,43,2120,J,1,143
2019,0,000,43,2130,J,1,150
2019,0,000,43,2140,J,3,404
2019,0,000,43,3000,J,31,5083
2019,0,000,43,3010,J,2,255
2019,0,000,43,3020,J,2,294
2019,0,000,43,3110,J,8,1388
2019,0,000,43,3120,J,6,875
2019,0,000,43,3130,J,7,1066
2019,0,000,43,3140,J,2,301
2019,0,000,43,3150,J,2,300
2019,0,000,43,4000,J,20,2749
2019,0,000,43,4010,J,5,872
2019,0,000,43,4110,J,4,575
2019,0,000,43,4120,J,3,629
2019,0,000,43,4130,J,1,105
2019,0,000,43,4140,J,2,250
2019,0,000,43,5000,J,12,1998
2019,0,000,43,5010,J,5,669
2019,0,000,43,5110,J,21,2843
2019,0,000,43,5120,J,7,959
2019,0,000,43,5130,J,2,394
2019,0,000,43,5140,J,5,671
2019,0,000,43,5160,J,6,908
2019,0,000,43,5170,J,5,582
2019,0,000,43,5180,J,4,514
2019,0,000,43,6000,J,38,5387
2019,0,000,43,6110,J,8,1400
2019,0,000,43,6120,J,2,250
2019,0,000,43,6130,J,3,300
2019,0,000,43,6210,J,2,276
2019,0,000,43,6220,J,7,1181
2019,0,000,43,6310,J,2,254
2019,0,000,43,7000,J,19,2674
2019,0,000,43,7110,J,6,828
2019,0,000,43,7120,J,1,115
2019,0,000,43,7210,J,6,821
2019,0,000,43,7220,J,1,198
2019,0,000,43,7230,J,1,100
2019,0,000,51,2000,J,25,9612
2019,0,000,51,2010,J,11,3910
2019,0,000,51,2020,J,3,1174
2019,0,000,51,2030,J,9,3515
2019,0,000,51,2040,J,15,5976
2019,0,000,51,2050,J,2,612
2019,0,000,51,2060,J,2,681
2019,0,000,51,2110,J,1,306
2019,0,000,51,3000,J,4,1537
2019,0,000,51,3120,J,1,490
2019,0,000,51,4000,J,3,1215
2019,0,000,51,4140,J,1,312
2019,0,000,51,5120,J,1,365
2019,0,000,51,5130,J,1,362
2019,0,000,51,5160,J,1,496
2019,0,000,51,6000,J,5,2203
2019,0,000,51,6110,J,1,476
2019,0,000,51,6220,J,5,1729
2019,0,000,51,7000,J,2,820
2019,0,000,61,2000,J,17,11537
2019,0,000,61,2010,J,8,4641
2019,0,000,61,2030,J,3,2003
2019,0,000,61,2040,J,11,7906
2019,0,000,61,2070,J,2,1254
2019,0,000,61,3000,J,3,2410
2019,0,000,61,3110,J,3,1821
2019,0,000,61,3120,J,1,704
2019,0,000,61,4000,J,1,559
2019,0,000,61,5130,J,1,811
2019,0,000,61,6000,J,1,521
2019,0,000,61,6110,J,1,700
2019,0,000,61,7000,J,2,1992
2019,0,000,73,2000,J,29,59405
2019,0,000,73,2010,J,1,1155
2019,0,000,73,2020,J,2,2452
2019,0,000,73,2040,J,10,21285
2019,0,000,73,2140,J,2,3879
2019,0,000,73,3000,J,1,3329
2019,0,000,73,4000,J,1,1079
2019,1,100,11,2070,J,4,4
2019,1,100,11,2120,J,11,21
2019,1,100,11,2150,J,1,0
2019,1,100,11,3110,J,2,2
2019,1,100,11,3140,J,4,11
2019,1,100,11,4110,J,2,4
2019,1,100,11,4130,J,1,2
2019,1,100,11,5160,J,1,1
2019,1,100,11,6120,J,1,4
2019,1,100,11,6210,J,1,1
2019,1,100,11,6220,J,3,3
2019,1,100,11,7220,J,4,6
2019,1,100,12,2070,J,3,23
2019,1,100,12,2110,J,1,9
2019,1,100,12,2120,J,2,10
2019,1,100,12,2130,J,1,5
2019,1,100,12,3140,J,3,17
2019,1,100,12,4140,J,1,9
2019,1,100,12,6220,J,3,21
2019,1,100,13,3140,J,1,10
2019,1,100,13,6120,J,2,27
2019,1,100,21,2070,J,2,49
2019,1,100,21,2120,J,1,24
2019,1,100,21,3140,J,1,25
2019,1,100,21,6120,J,1,22
2019,1,100,51,2120,J,1,433
2019,1,100,51,6000,J,1,332
2019,1,100,61,2120,J,2,1635
2019,1,103,11,2010,J,1,0
2019,1,103,11,2020,J,1,1
2019,1,103,11,2060,J,1,1
2019,1,103,11,2070,J,16,23
2019,1,103,11,2110,J,15,14
2019,1,103,11,2120,J,27,37
2019,1,103,11,2130,J,37,70
2019,1,103,11,2140,J,18,28
2019,1,103,11,2150,J,17,25
2019,1,103,11,3020,J,2,1
2019,1,103,11,3110,J,14,27
2019,1,103,11,3120,J,4,6
2019,1,103,11,3130,J,9,12
2019,1,103,11,3140,J,25,46
2019,1,103,11,3150,J,6,4
2019,1,103,11,4000,J,7,14
2019,1,103,11,4010,J,13,20
2019,1,103,11,4110,J,55,101
2019,1,103,11,4120,J,23,42
2019,1,103,11,4130,J,27,57
2019,1,103,11,4140,J,28,45
2019,1,103,11,5000,J,2,4
2019,1,103,11,5010,J,1,1
2019,1,103,11,5110,J,2,2
2019,1,103,11,5120,J,1,2
2019,1,103,11,5130,J,1,4
2019,1,103,11,5160,J,5,10
2019,1,103,11,5170,J,2,5
2019,1,103,11,5180,J,1,0
2019,1,103,11,6000,J,28,56
2019,1,103,11,6110,J,16,27
2019,1,103,11,6120,J,9,17
2019,1,103,11,6130,J,14,27
2019,1,103,11,6210,J,16,25
2019,1,103,11,6220,J,13,24
2019,1,103,11,6310,J,4,3
2019,1,103,11,7000,J,9,21
2019,1,103,11,7110,J,18,42
2019,1,103,11,7120,J,37,68
2019,1,103,11,7210,J,16,27
2019,1,103,11,7220,J,18,42
2019,1,103,11,7230,J,12,17
2019,1,103,12,2070,J,5,30
2019,1,103,12,2110,J,3,18
2019,1,103,12,2120,J,11,76
2019,1,103,12,2130,J,9,60
2019,1,103,12,2140,J,2,11
2019,1,103,12,2150,J,8,56
2019,1,103,12,3000,J,1,5
2019,1,103,12,3110,J,3,25
2019,1,103,12,3120,J,3,18
2019,1,103,12,3130,J,3,19
2019,1,103,12,3140,J,5,32
2019,1,103,12,3150,J,3,23
2019,1,103,12,4010,J,5,33
2019,1,103,12,4110,J,10,64
2019,1,103,12,4120,J,3,20
2019,1,103,12,4130,J,7,42
2019,1,103,12,4140,J,10,67
2019,1,103,12,5000,J,1,5
2019,1,103,12,5010,J,1,5
2019,1,103,12,5110,J,1,8
2019,1,103,12,5140,J,1,5
2019,1,103,12,5170,J,3,21
2019,1,103,12,5180,J,2,12
2019,1,103,12,6000,J,5,31
2019,1,103,12,6110,J,5,39
2019,1,103,12,6120,J,1,9
2019,1,103,12,6130,J,4,27
2019,1,103,12,6210,J,11,84
2019,1,103,12,6220,J,7,45
2019,1,103,12,6310,J,6,45
2019,1,103,12,7000,J,5,31
2019,1,103,12,7110,J,5,30
2019,1,103,12,7120,J,10,64
2019,1,103,12,7210,J,3,21
2019,1,103,12,7220,J,3,20
2019,1,103,12,7230,J,3,17
2019,1,103,13,2070,J,4,49
2019,1,103,13,2110,J,4,43
2019,1,103,13,2120,J,7,105
2019,1,103,13,2130,J,7,99
2019,1,103,13,2140,J,3,40
2019,1,103,13,2150,J,11,148
2019,1,103,13,3020,J,1,18
2019,1,103,13,3110,J,5,53
2019,1,103,13,3120,J,6,83
2019,1,103,13,3130,J,5,61
2019,1,103,13,3140,J,5,74
2019,1,103,13,3150,J,2,26
2019,1,103,13,4000,J,4,58
2019,1,103,13,4010,J,5,70
2019,1,103,13,4110,J,8,112
2019,1,103,13,4120,J,4,46
2019,1,103,13,4130,J,6,81
2019,1,103,13,4140,J,3,41
2019,1,103,13,5110,J,3,39
2019,1,103,13,5140,J,1,13
2019,1,103,13,5160,J,1,16
2019,1,103,13,5170,J,1,15
2019,1,103,13,6000,J,5,70
2019,1,103,13,6110,J,10,139
2019,1,103,13,6120,J,5,74
2019,1,103,13,6130,J,4,65
2019,1,103,13,6210,J,9,127
2019,1,103,13,6220,J,4,47
2019,1,103,13,6310,J,3,38
2019,1,103,13,7000,J,3,41
2019,1,103,13,7110,J,9,113
2019,1,103,13,7120,J,18,259
2019,1,103,13,7210,J,6,94
2019,1,103,13,7220,J,4,53
2019,1,103,21,2070,J,1,29
2019,1,103,21,2110,J,2,49
2019,1,103,21,2120,J,4,103
2019,1,103,21,2130,J,2,45
2019,1,103,21,2140,J,1,24
2019,1,103,21,2150,J,4,97
2019,1,103,21,3120,J,1,23
2019,1,103,21,3130,J,1,27
2019,1,103,21,3140,J,2,50
2019,1,103,21,4000,J,2,47
2019,1,103,21,4010,J,1,22
2019,1,103,21,4110,J,2,50
2019,1,103,21,4120,J,1,21
2019,1,103,21,4130,J,3,66
2019,1,103,21,5000,J,1,24
2019,1,103,21,5160,J,2,41
2019,1,103,21,5180,J,1,25
2019,1,103,21,6000,J,5,116
2019,1,103,21,6110,J,5,116
2019,1,103,21,6210,J,1,22
2019,1,103,21,6220,J,3,64
2019,1,103,21,7000,J,1,21
2019,1,103,21,7110,J,3,72
2019,1,103,21,7120,J,4,98
2019,1,103,21,7210,J,3,71
2019,1,103,21,7220,J,1,28
2019,1,103,22,2070,J,3,98
2019,1,103,22,2110,J,1,30
2019,1,103,22,2120,J,3,120
2019,1,103,22,2140,J,4,146
2019,1,103,22,2150,J,5,213
