"기준년","대업종","중업종","규모","지방관서","공사규모","사업장수","근로자수"
2020,0,000,11,2000,J,228,430
2020,0,000,11,2000,J,483,723
2020,0,000,11,2000,J,535,769
2020,0,000,11,2000,J,81,122
2020,0,000,11,2010,J,1083,1787
2020,0,000,11,2020,J,1,1
2020,0,000,11,2020,J,116,190
2020,0,000,11,2020,J,117,180
2020,0,000,11,2020,J,274,384
2020,0,000,11,2020,J,76,126
2020,0,000,11,2030,J,116,224
2020,0,000,11,2030,J,262,361
2020,0,000,11,2030,J,41,67
2020,0,000,11,2030,J,71,126
2020,0,000,11,2040,J,176,287
2020,0,000,11,2040,J,49,57
2020,0,000,11,2040,J,605,975
2020,0,000,11,2050,J,37,50
2020,0,000,11,2050,J,53,86
2020,0,000,11,2050,J,54,84
2020,0,000,11,2050,J,60,78
2020,0,000,11,2050,J,85,141
2020,0,000,11,2060,J,111,170
2020,0,000,11,2060,J,166,252
2020,0,000,11,2060,J,57,100
2020,0,000,11,2060,J,67,94
2020,0,000,11,2070,J,128,225
2020,0,000,11,2070,J,15,22
2020,0,000,11,2070,J,15,26
2020,0,000,11,2070,J,16,34
2020,0,000,11,2070,J,41,74
2020,0,000,11,2070,J,48,85
2020,0,000,11,2070,J,8,15
2020,0,000,11,2070,J,9,16
2020,0,000,11,2110,J,19,33
2020,0,000,11,2110,J,2,2
2020,0,000,11,2110,J,4,7
2020,0,000,11,2110,J,59,123
2020,0,000,11,2110,J,6,10
2020,0,000,11,2110,J,8,10
2020,0,000,11,2120,J,10,18
2020,0,000,11,2120,J,13,26
2020,0,000,11,2130,J,16,37
2020,0,000,11,2130,J,26,54
2020,0,000,11,2130,J,40,94
2020,0,000,11,2130,J,7,14
2020,0,000,11,2130,J,71,150
2020,0,000,11,2140,J,2,8
2020,0,000,11,2140,J,76,137
2020,0,000,11,2150,J,11,5
2020,0,000,11,2150,J,4,7
2020,0,000,11,2150,J,7,10
2020,0,000,11,3000,J,127,233
2020,0,000,11,3000,J,16,35
2020,0,000,11,3000,J,184,341
2020,0,000,11,3000,J,330,621
2020,0,000,11,3000,J,34,92
2020,0,000,11,3000,J,35,61
2020,0,000,11,3000,J,5,13
2020,0,000,11,3000,J,86,205
2020,0,000,11,3010,J,18,47
2020,0,000,11,3010,J,20,28
2020,0,000,11,3010,J,23,31
2020,0,000,11,3010,J,46,63
2020,0,000,11,3010,J,66,77
2020,0,000,11,3020,J,12,28
2020,0,000,11,3020,J,31,60
2020,0,000,11,3020,J,32,64
2020,0,000,11,3110,J,10,22
2020,0,000,11,3110,J,111,181
2020,0,000,11,3110,J,17,37
2020,0,000,11,3110,J,17,40
2020,0,000,11,3110,J,46,90
2020,0,000,11,3110,J,54,133
2020,0,000,11,3110,J,78,146
2020,0,000,11,3110,J,8,21
2020,0,000,11,3120,J,13,24
2020,0,000,11,3120,J,158,289
2020,0,000,11,3120,J,16,29
2020,0,000,11,3120,J,17,34
2020,0,000,11,3120,J,19,35
2020,0,000,11,3130,J,25,62
2020,0,000,11,3130,J,43,94
2020,0,000,11,3130,J,74,118
2020,0,000,11,3140,J,11,21
2020,0,000,11,3140,J,132,234
2020,0,000,11,3140,J,19,45
2020,0,000,11,3140,J,20,40
2020,0,000,11,3140,J,27,53
2020,0,000,11,3140,J,5,11
2020,0,000,11,3140,J,5,12
2020,0,000,11,3140,J,6,15
2020,0,000,11,3150,J,32,46
2020,0,000,11,3150,J,33,64
2020,0,000,11,3150,J,8,9
2020,0,000,11,4000,J,10,25
2020,0,000,11,4000,J,127,189
2020,0,000,11,4000,J,171,294
2020,0,000,11,4000,J,21,45
2020,0,000,11,4000,J,33,68
2020,0,000,11,4000,J,48,104
2020,0,000,11,4000,J,5,10
2020,0,000,11,4000,J,69,124
2020,0,000,11,4010,J,111,160
2020,0,000,11,4010,J,17,28
2020,0,000,11,4010,J,18,37
2020,0,000,11,4010,J,24,59
2020,0,000,11,4010,J,29,44
2020,0,000,11,4010,J,40,73
2020,0,000,11,4010,J,8,10
2020,0,000,11,4110,J,12,20
2020,0,000,11,4110,J,17,34
2020,0,000,11,4110,J,34,84
2020,0,000,11,4110,J,4,9
2020,0,000,11,4110,J,57,115
2020,0,000,11,4110,J,72,133
2020,0,000,11,4120,J,40,81
2020,0,000,11,4120,J,95,188
2020,0,000,11,4130,J,22,42
2020,0,000,11,4130,J,24,40
2020,0,000,11,4130,J,39,79
2020,0,000,11,4130,J,8,17
2020,0,000,11,4140,J,13,28
2020,0,000,11,4140,J,16,33
2020,0,000,11,4140,J,3,8
2020,0,000,11,4140,J,63,133
2020,0,000,11,4140,J,7,19
2020,0,000,11,5000,J,1,3
2020,0,000,11,5000,J,10,20
2020,0,000,11,5000,J,108,172
2020,0,000,11,5000,J,164,233
2020,0,000,11,5000,J,17,30
2020,0,000,11,5000,J,56,82
2020,0,000,11,5010,J,130,255
2020,0,000,11,5010,J,37,55
2020,0,000,11,5010,J,47,88
2020,0,000,11,5010,J,8,20
2020,0,000,11,5110,J,115,196
2020,0,000,11,5110,J,19,25
2020,0,000,11,5110,J,22,40
2020,0,000,11,5110,J,26,57
2020,0,000,11,5110,J,46,76
2020,0,000,11,5110,J,48,87
2020,0,000,11,5110,J,54,87
2020,0,000,11,5110,J,69,97
2020,0,000,11,5120,J,224,333
2020,0,000,11,5120,J,45,72
2020,0,000,11,5130,J,11,23
2020,0,000,11,5130,J,116,199
2020,0,000,11,5130,J,22,47
2020,0,000,11,5130,J,50,96
2020,0,000,11,5130,J,70,136
2020,0,000,11,5130,J,9,13
2020,0,000,11,5140,J,11,15
2020,0,000,11,5140,J,133,251
2020,0,000,11,5140,J,49,108
2020,0,000,11,5160,J,12,14
2020,0,000,11,5160,J,157,247
2020,0,000,11,5160,J,25,38
2020,0,000,11,5160,J,26,53
2020,0,000,11,5160,J,27,50
2020,0,000,11,5160,J,28,35
2020,0,000,11,5160,J,52,95
2020,0,000,11,5160,J,9,10
2020,0,000,11,5170,J,11,18
2020,0,000,11,5170,J,2,4
2020,0,000,11,5170,J,20,33
2020,0,000,11,5170,J,77,105
2020,0,000,11,5180,J,106,157
2020,0,000,11,5180,J,48,81
2020,0,000,11,5180,J,51,74
