"기준년","대업종","중업종","규모","지방관서","지역","공사규모","사업장수","근로자수"
2023,0,000,11,2000,01,J,233,437
2023,0,000,11,2000,01,J,462,767
2023,0,000,11,2000,01,J,535,840
2023,0,000,11,2000,01,J,83,127
2023,0,000,11,2010,01,J,1230,2123
2023,0,000,11,2020,01,J,100,167
2023,0,000,11,2020,01,J,103,161
2023,0,000,11,2020,01,J,2,2
2023,0,000,11,2020,01,J,262,400
2023,0,000,11,2020,01,J,75,127
2023,0,000,11,2030,01,J,132,249
2023,0,000,11,2030,01,J,218,362
2023,0,000,11,2030,01,J,42,68
2023,0,000,11,2030,01,J,75,147
2023,0,000,11,2040,01,J,199,342
2023,0,000,11,2040,01,J,48,65
2023,0,000,11,2040,01,J,717,1289
2023,0,000,11,2050,01,J,38,63
2023,0,000,11,2050,01,J,48,79
2023,0,000,11,2050,01,J,52,89
2023,0,000,11,2050,01,J,56,93
2023,0,000,11,2050,01,J,84,134
2023,0,000,11,2060,01,J,117,205
2023,0,000,11,2060,01,J,142,236
2023,0,000,11,2060,01,J,44,84
2023,0,000,11,2060,01,J,54,93
2023,0,000,11,2070,09,J,10,17
2023,0,000,11,2070,09,J,131,220
2023,0,000,11,2070,09,J,14,23
2023,0,000,11,2070,09,J,17,26
2023,0,000,11,2070,09,J,18,34
2023,0,000,11,2070,09,J,51,96
2023,0,000,11,2070,09,J,63,105
2023,0,000,11,2070,09,J,7,13
2023,0,000,11,2110,08,J,17,32
2023,0,000,11,2110,08,J,2,2
2023,0,000,11,2110,08,J,4,11
2023,0,000,11,2110,08,J,50,112
2023,0,000,11,2110,08,J,6,11
2023,0,000,11,2110,08,J,8,9
2023,0,000,11,2120,08,J,11,27
2023,0,000,11,2120,08,J,14,26
2023,0,000,11,2130,08,J,14,36
2023,0,000,11,2130,08,J,22,49
2023,0,000,11,2130,08,J,37,89
2023,0,000,11,2130,08,J,64,138
2023,0,000,11,2130,08,J,7,14
2023,0,000,11,2140,08,J,2,8
2023,0,000,11,2140,08,J,80,149
2023,0,000,11,2150,08,J,11,17
2023,0,000,11,2150,08,J,12,7
2023,0,000,11,2150,08,J,4,7
2023,0,000,11,3000,02,J,123,220
2023,0,000,11,3000,02,J,15,32
2023,0,000,11,3000,02,J,171,336
2023,0,000,11,3000,02,J,294,615
2023,0,000,11,3000,02,J,32,89
2023,0,000,11,3000,02,J,38,62
2023,0,000,11,3000,02,J,6,16
2023,0,000,11,3000,02,J,92,217
2023,0,000,11,3010,02,J,24,40
2023,0,000,11,3010,02,J,27,63
2023,0,000,11,3010,02,J,34,60
2023,0,000,11,3010,02,J,41,58
2023,0,000,11,3010,02,J,71,100
2023,0,000,11,3020,02,J,16,35
2023,0,000,11,3020,02,J,25,52
2023,0,000,11,3020,02,J,32,69
