"월별(1)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균해면기압 (hPa),이슬점온도 (℃),평균운량 (10%),일조시간 (h),바람 (㎧),바람 (㎧),바람 (㎧),기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균해면기압 (hPa),이슬점온도 (℃),평균운량 (10%),일조시간 (h),바람 (㎧),바람 (㎧),바람 (㎧),기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균해면기압 (hPa),이슬점온도 (℃),평균운량 (10%),일조시간 (h),바람 (㎧),바람 (㎧),바람 (㎧),기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균해면기압 (hPa),이슬점온도 (℃),평균운량 (10%),일조시간 (h),바람 (㎧),바람 (㎧),바람 (㎧),기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균해면기압 (hPa),이슬점온도 (℃),평균운량 (10%),일조시간 (h),바람 (㎧),바람 (㎧),바람 (㎧),기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균해면기압 (hPa),이슬점온도 (℃),평균운량 (10%),일조시간 (h),바람 (㎧),바람 (㎧),바람 (㎧)
"월별(1)",평균,평균최고,최고극값,평균최저,최저극값,소계,평균,최소,소계,소계,소계,소계,평균풍속,최대풍속,최대순간풍속,평균,평균최고,최고극값,평균최저,최저극값,소계,평균,최소,소계,소계,소계,소계,평균풍속,최대풍속,최대순간풍속,평균,평균최고,최고극값,평균최저,최저극값,소계,평균,최소,소계,소계,소계,소계,평균풍속,최대풍속,최대순간풍속,평균,평균최고,최고극값,평균최저,최저극값,소계,평균,최소,소계,소계,소계,소계,평균풍속,최대풍속,최대순간풍속,평균,평균최고,최고극값,평균최저,최저극값,소계,평균,최소,소계,소계,소계,소계,평균풍속,최대풍속,최대순간풍속,평균,평균최고,최고극값,평균최저,최저극값,소계,평균,최소,소계,소계,소계,소계,평균풍속,최대풍속,최대순간풍속
"합계",11.8,18.0,37.8,6.2,-20.6,1163.4,65.0,3.0,1017.1,4.6,-,2396.4,1.6,9.1,17.3,12.0,18.1,34.3,6.3,-13.2,845.6,69.0,1.0,1016.7,6.1,5.1,2256.6,1.3,10.7,18.8,12.2,18.0,34.1,7.0,-16.0,1443.5,75.0,11.0,1017.2,7.1,5.2,2185.3,1.3,9.2,18.3,12.5,18.5,34.6,7.2,-20.5,1058.9,76.0,11.0,1017.4,7.6,5.2,2177.3,1.3,8.7,17.7,12.0,18.1,34.1,6.4,-18.1,1080.7,74.0,13.0,1016.9,6.6,5.0,2320.6,1.2,8.4,15.3,13.0,19.0,35.0,7.7,-18.0,1502.5,74.0,10.0,1016.8,7.6,4.9,2134.1,1.2,8.1,18.6
"1월",-4.2,1.0,8.2,-9.0,-20.6,14.0,65.0,19.0,1024.8,-10.4,-,166.2,1.4,6.9,13.2,-1.8,4.5,8.2,-8.1,-13.2,0.6,54.0,1.0,1026.8,-11.3,3.7,204.6,1.2,5.7,12.1,1.3,6.7,13.7,-3.4,-9.2,59.7,75.0,21.0,1024.0,-3.2,5.6,146.4,1.2,9.0,16.8,-2.8,3.3,13.0,-8.9,-20.5,17.8,72.0,22.0,1026.0,-7.8,4.6,179.1,1.3,7.1,17.3,-2.7,3.6,9.3,-8.9,-14.2,3.3,65.0,20.0,1025.5,-9.0,3.5,215.1,1.0,5.7,13.4,-2.2,3.8,13.8,-7.9,-18.0,31.0,73.0,20.0,1025.3,-6.9,3.9,197.1,1.1,6.0,14.8
"2월",-2.0,4.2,13.0,-8.4,-19.0,31.6,56.0,10.0,1024.0,-10.8,-,187.2,1.6,7.4,12.9,0.4,6.5,13.4,-5.2,-10.5,25.5,54.0,8.0,1024.6,-9.3,5.5,174.0,1.3,5.2,9.8,1.9,7.9,16.0,-3.6,-13.2,63.1,74.0,19.0,1025.3,-2.8,4.7,168.0,1.4,8.4,14.8,2.1,8.7,22.2,-4.2,-11.7,9.2,63.0,13.0,1022.6,-4.9,3.9,189.2,1.6,8.1,14.9,-1.4,4.7,12.5,-7.3,-12.7,3.3,61.0,13.0,1026.2,-8.7,4.1,202.9,1.5,7.3,13.8,1.2,7.7,13.3,-4.6,-8.9,3.1,67.0,18.0,1026.2,-5.1,3.6,185.1,1.2,6.5,13.7
"3월",7.4,14.4,24.1,1.0,-7.8,62.2,69.0,13.0,1020.4,1.0,-,192.5,1.9,9.1,14.4,6.2,13.3,20.1,-0.7,-5.1,26.9,59.0,2.0,1017.6,2.0,4.8,161.1,1.7,9.7,15.4,6.8,13.9,22.2,-0.3,-6.4,21.7,61.0,15.0,1018.3,-1.5,3.9,233.8,1.6,8.9,16.5,8.0,14.9,23.2,1.5,-3.5,75.3,69.0,11.0,1020.7,1.3,5.1,202.5,1.5,7.9,13.7,6.9,13.4,20.3,0.5,-6.0,57.6,70.0,16.0,1017.7,0.6,5.4,170.3,1.4,8.4,15.3,8.6,16.8,24.9,0.7,-6.7,16.4,53.0,13.0,1020.6,-2.0,3.4,251.4,1.4,7.1,12.2
"4월",12.4,19.5,29.1,5.3,-2.2,117.0,61.0,6.0,1015.8,3.4,-,209.2,2.1,7.6,17.3,10.7,17.5,27.9,4.0,-4.7,43.9,60.0,8.0,1015.4,5.4,5.0,181.8,1.6,7.9,11.9,10.2,17.3,25.7,2.5,-2.5,15.1,55.0,11.0,1017.7,0.0,3.0,285.7,2.0,9.2,17.2,13.0,19.5,28.7,6.2,0.0,54.7,59.0,15.0,1019.2,3.6,5.0,211.9,1.8,8.7,17.7,13.1,20.9,27.6,5.6,-2.0,51.6,62.0,13.0,1017.2,4.3,4.3,250.5,1.4,6.9,10.2,12.9,19.8,27.2,5.9,-1.5,29.6,64.0,10.0,1015.1,4.4,5.2,192.2,1.6,7.0,12.7
"5월",17.5,23.6,29.6,11.5,5.2,82.7,67.0,12.0,1011.5,10.4,-,207.3,1.8,8.0,13.6,17.2,25.0,30.7,8.9,2.2,15.1,56.0,4.0,1012.1,6.5,3.8,278.3,1.6,7.6,11.9,17.4,23.5,29.1,11.9,6.7,86.4,74.0,17.0,1010.5,11.8,5.9,207.4,1.4,7.8,12.8,15.9,21.7,29.7,10.1,3.0,135.9,77.0,21.0,1010.2,11.0,5.6,190.7,1.5,8.2,14.4,17.4,24.8,29.9,9.8,3.1,9.8,61.0,15.0,1012.5,8.3,3.7,310.3,1.3,6.1,11.9,18.0,24.5,31.2,11.3,3.6,116.9,71.0,19.0,1013.2,11.3,5.3,230.3,1.3,8.1,13.1
"6월",21.9,28.1,32.6,16.5,11.5,88.9,65.0,17.0,1007.9,14.1,-,219.3,1.6,6.5,12.3,20.4,26.4,31.1,15.0,8.7,84.9,72.0,21.0,1007.2,14.5,5.3,212.2,1.2,6.2,11.4,22.6,28.1,32.9,17.6,11.5,121.9,77.0,22.0,1006.4,17.6,6.0,196.3,1.2,6.3,13.1,21.8,27.3,32.0,16.9,11.9,44.8,79.0,28.0,1008.6,17.4,5.8,187.5,1.2,6.3,11.0,22.5,27.7,33.1,17.7,9.7,168.0,77.0,18.0,1007.3,17.7,6.2,162.0,1.5,6.5,13.0,22.6,27.9,33.0,17.4,12.3,178.9,76.0,22.0,1007.2,17.3,5.6,218.0,1.3,5.8,10.5
