"건축용도별(1)","항목",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"건축용도별(1)","항목",합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,증축·개축·이전·대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경
"건축용도별(1)","항목",계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타,계,콘크리트,철골,조적,철골철근,목조,기타
"합계","동수 (동)",3141,1068,1894,41,25,85,28,2141,738,1335,3,7,52,6,813,214,516,24,8,29,22,187,116,43,14,10,4,-,1988,1300,516,39,91,17,25,1198,1105,-,9,83,1,-,733,155,509,22,6,16,25,57,40,7,8,2,-,-,2471,656,1675,32,14,61,33,1620,435,1110,2,4,48,21,700,129,515,24,7,13,12,151,92,50,6,3,-,-,2969,931,1846,24,8,118,42,2190,677,1392,3,1,107,10,610,150,408,9,4,8,31,169,104,46,12,3,3,1,2856,961,1698,23,58,104,12,2196,754,1316,2,47,75,2,486,103,340,2,6,27,8,174,104,42,19,5,2,2,2293,628,1520,12,55,55,23,1236,308,862,-,16,39,11,943,272,607,1,39,12,12,114,48,51,11,-,4,-
"합계","연면적 (㎡)",2559681,1669256,823939,3298,55219,6607,1362,2114005,1462244,618430,178,26142,6010,1001,348791,142209,191995,963,12966,297,361,96885,64803,13514,2157,16111,300,-,753907,472943,143964,58550,74707,393,3350,361759,297288,58,56054,8315,44,-,374528,162224,143013,-608,66200,349,3350,17620,13431,893,3104,192,-,-,1983671,1445138,505326,-344,26135,6242,1174,1676076,1326294,324088,168,19461,5405,660,246532,75693,165812,-881,4557,837,514,61063,43151,15426,369,2117,-,-,4163133,3078742,763728,1829,303556,13681,1597,3662769,2922044,445526,313,280828,13111,947,427410,101046,304898,25,20438,435,568,72954,55652,13304,1491,2290,135,82,6123270,4793435,677323,2178,641972,7799,563,4822989,3750519,470487,306,594593,6939,145,516362,381179,131764,327,2200,638,254,783919,661737,75072,1545,45180,222,164,3534879,2683299,673245,1189,159558,4266,13322,1763606,1266918,404714,-,81457,3518,6999,1550472,1213683,251588,104,78102,672,6323,220802,202698,16943,1085,-,76,-
"주거용","동수 (동)",912,548,299,7,3,53,2,856,532,273,2,3,44,2,47,13,23,3,-,8,-,9,3,3,2,-,1,-,405,284,23,4,82,8,4,351,268,-,-,82,1,-,53,15,23,4,-,7,4,1,1,-,-,-,-,-,621,366,193,6,1,52,3,570,354,164,2,1,46,3,44,10,24,4,-,6,-,7,2,5,-,-,-,-,778,403,252,7,1,112,3,713,385,219,3,-,104,2,55,12,31,3,-,8,1,10,6,2,1,1,-,-,809,492,225,3,16,71,2,753,473,202,2,16,59,1,45,13,19,-,-,12,1,11,6,4,1,-,-,-,452,217,182,3,4,43,3,366,181,142,-,3,37,3,77,29,40,1,1,6,-,9,7,-,2,-,-,-
"주거용","연면적 (㎡)",752958,711276,27123,859,7941,5555,204,744114,705285,25209,163,7941,5312,204,7436,5586,1659,97,-,94,-,1408,405,255,599,-,149,-,38528,28425,1426,-136,8303,254,256,34167,25820,-,-,8303,44,-,3993,2237,1426,-136,-,210,256,368,368,-,-,-,-,-,894760,858391,19554,22,11353,5207,233,889357,856585,16005,168,11353,5013,233,4420,1454,2950,-178,-,194,-,983,352,599,32,-,-,-,1426095,1388860,23453,476,180,12837,289,1419795,1384986,21628,313,-,12579,289,4983,3043,1603,79,-,258,-,1317,831,222,84,180,-,-,1719693,1680370,20362,425,11585,6762,189,1708363,1670371,19371,306,11585,6583,145,6251,5120,909,-,-,179,43,5080,4878,82,120,-,-,-,94715,71355,18345,208,414,4065,329,74090,56287,13704,-,314,3457,329,17288,11835,4641,104,101,608,-,3337,3233,-,104,-,-,-
"상업용","동수 (동)",1057,360,654,22,8,9,4,662,125,530,1,2,3,1,262,147,97,9,3,3,3,133,88,27,12,3,3,-,762,624,118,15,3,2,-,521,517,-,4,-,-,-,200,80,111,6,1,2,-,41,27,7,5,2,-,-,897,192,666,8,8,6,17,618,60,538,-,3,2,15,172,66,95,2,3,4,2,107,66,33,6,2,-,-,1096,241,811,12,1,4,27,808,117,685,-,-,3,3,182,62,95,2,-,-,23,106,62,31,10,1,1,1,1051,241,747,16,14,27,6,762,127,611,-,7,16,1,179,57,105,-,4,10,3,110,57,31,16,3,1,2,1156,241,869,9,17,12,8,736,113,605,-,13,2,3,322,89,218,-,4,6,5,98,39,46,9,-,4,-
"상업용","연면적 (㎡)",780450,603055,153504,1668,21608,600,15,634664,483778,134203,15,16304,349,15,92308,76815,11772,95,3526,100,-,53478,42462,7529,1558,1778,151,-,170885,125643,16723,27935,192,88,304,127188,100892,-,26296,-,-,-,34175,18100,15830,-147,-,88,304,9522,6651,893,1786,192,-,-,326003,181594,131575,240,11493,745,356,257138,140360,108008,-,8108,392,270,36045,16924,16010,-97,2769,353,86,32820,24310,7557,337,616,-,-,566135,360560,168823,1372,34549,568,263,510547,327550,150755,-,31634,532,76,28062,14120,11253,153,2431,-,105,27526,18890,6815,1219,484,36,82,1087729,810999,210910,1347,63524,711,237,731874,570101,137576,-,23841,356,-,94422,75607,18452,-,62,227,74,261433,165291,54882,1347,39621,128,164,1886233,1449469,338719,981,96285,202,577,1283343,961606,240327,-,81143,62,206,391403,290918,84908,-,15142,64,371,211487,196946,13484,981,-,76,-
"농수산용","동수 (동)",535,8,499,7,2,-,19,305,6,296,-,-,-,3,229,2,202,7,2,-,16,1,-,1,-,-,-,-,342,100,212,10,2,2,16,100,99,-,-,1,-,-,242,1,212,10,1,2,16,-,-,-,-,-,-,-,499,8,464,12,2,1,12,215,-,213,-,-,-,2,283,8,250,12,2,1,10,1,-,1,-,-,-,-,287,1,282,-,-,-,4,207,1,203,-,-,-,3,80,-,79,-,-,-,1,-,-,-,-,-,-,-,242,1,239,1,-,-,1,188,1,187,-,-,-,-,54,-,52,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
