"읍면동별(1)",읍면동별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"읍면동별(1)",읍면동별(2),합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절공급업,전기 가스 증기 및 공기조절공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 보험업,금융 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설관리 사업지원 및 임대서비스업,사업시설관리 사업지원 및 임대서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절공급업,전기 가스 증기 및 공기조절공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 보험업,금융 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설관리 사업지원 및 임대서비스업,사업시설관리 사업지원 및 임대서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절공급업,전기 가스 증기 및 공기조절공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 보험업,금융 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설관리 사업지원 및 임대서비스업,사업시설관리 사업지원 및 임대서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절공급업,전기 가스 증기 및 공기조절공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 보험업,금융 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설관리 사업지원 및 임대서비스업,사업시설관리 사업지원 및 임대서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절공급업,전기 가스 증기 및 공기조절공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 보험업,금융 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설관리 사업지원 및 임대서비스업,사업시설관리 사업지원 및 임대서비스업,공공행정국방및사회보장행정,공공행정국방및사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업
"읍면동별(1)",읍면동별(2),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
"합계",소계,52993,20431,295032,172400,122632,49,444,4,76,5795,84733,25,193,118,1406,2075,14160,12616,37793,4597,12630,10088,31284,335,2594,510,5862,2272,6140,1423,9294,1203,16578,99,5356,2551,24591,1939,25225,1703,5101,5591,11572,73365,27136,314811,188546,126265,121,508,4,58,7620,91115,397,574,157,1557,6121,21378,18281,39529,6296,14119,11169,26587,695,2909,636,5451,3724,7885,2250,10548,2324,19173,101,5549,3104,24641,2005,26988,1881,4314,6479,11928,74581,27315,321670,190484,131186,122,562,3,54,7668,91591,608,881,158,1579,6490,21426,18201,40883,6584,14875,11119,27061,805,3269,657,5832,3860,8373,2388,10864,2088,19127,103,5905,3307,24590,2042,29151,1893,4315,6485,11332,77243,28420,324475,191566,132909,137,723,4,49,8028,91079,746,1018,163,1622,6880,21170,18489,40267,6957,14453,11246,29365,942,3232,654,5725,3978,8547,2488,11804,2184,18424,105,6448,3436,24840,2120,29447,1943,4750,6743,11512,79458,29731,323557,189334,134223,152,802,4,54,7432,89297,995,1276,165,1581,7014,20566,19668,40475,7002,14446,11251,30162,1083,3234,686,5912,4103,8796,2593,12009,2336,16977,107,6259,3677,24555,2075,30325,1961,4749,7154,12082
"동남구",소계,23220,8858,117839,67655,50184,30,278,3,75,2266,24418,13,53,58,735,1101,6726,5917,16126,2156,6635,4310,13099,156,1059,215,2704,835,2316,667,3841,523,6320,52,1845,947,12241,779,12158,685,2257,2507,4953,32625,11593,126768,75553,51215,67,285,3,57,2853,25592,248,295,89,875,3877,12793,8246,16798,3299,7904,4613,10839,293,1090,261,2438,1323,2779,988,4207,956,6782,54,1993,1110,12484,786,12485,741,1984,2818,5088,33354,11692,128585,75749,52836,65,326,2,53,2941,25696,405,515,90,871,4187,12229,8169,17244,3341,8156,4627,11115,335,1087,265,2726,1416,3107,1049,4319,848,6477,54,2037,1160,12011,787,13704,753,1987,2860,4925,34196,12040,128285,75007,53278,73,449,2,47,3040,26214,482,590,89,895,4455,11374,8135,17128,3489,7495,4615,11827,352,1040,275,2641,1451,3193,1100,4622,896,6494,54,2114,1196,12002,805,13339,759,2006,2928,4815,35045,12547,130128,75595,54533,82,488,2,52,2848,26441,600,708,88,881,4523,11495,8537,17269,3522,7107,4618,12265,379,1055,291,2869,1482,3299,1132,4600,929,6568,56,2118,1280,11018,801,14639,763,2097,3112,5159
"동남구",목천읍,1792,625,9548,6160,3388,3,29,-,-,207,3003,1,1,5,83,93,578,383,1202,271,783,355,892,4,14,5,50,44,127,13,35,18,271,5,170,86,947,66,642,51,276,182,445,2522,845,10032,6348,3684,5,30,-,-,278,3126,19,19,12,95,208,649,593,1323,401,868,377,778,10,18,8,48,85,145,31,45,55,342,5,134,90,987,68,594,58,306,219,525,2580,869,10240,6376,3864,4,35,-,-,294,3129,26,27,12,119,220,690,595,1333,406,845,388,780,13,30,7,48,95,172,32,56,46,313,5,170,95,906,68,708,58,400,216,479,2605,882,10172,5994,4178,4,34,-,-,296,3071,26,28,13,122,254,819,594,1305,404,802,377,795,14,21,8,54,91,177,34,72,52,306,5,146,95,902,67,647,59,392,212,479,2653,923,10291,6292,3999,6,38,-,-,282,3023,34,35,14,128,240,895,633,1292,387,766,381,847,15,20,11,50,93,176,35,69,62,333,5,170,101,895,60,652,58,403,236,499
"동남구",풍세면,760,188,6651,5058,1593,9,43,-,-,269,3957,1,1,7,66,67,453,149,490,56,223,83,205,2,4,5,22,13,15,11,598,14,281,3,21,10,118,11,62,10,23,40,69,1061,262,7690,5748,1942,11,68,-,-,338,4625,46,47,9,78,114,515,206,591,104,300,85,186,4,6,5,29,23,34,17,545,19,359,3,25,11,121,11,61,12,29,43,71,1156,298,7714,5742,1972,12,65,-,-,350,4432,74,83,10,94,114,519,211,567,113,358,104,276,3,9,6,31,28,44,22,504,21,416,2,18,12,128,12,66,13,30,49,74,1213,313,7972,6031,1941,12,85,-,-,379,4825,89,90,10,94,114,429,211,580,110,352,105,249,4,9,6,29,32,42,26,604,21,237,3,32,13,126,15,79,15,37,48,73,1270,336,8520,6161,2359,14,85,-,-,367,5194,103,103,10,80,126,421,225,623,106,453,113,297,7,14,6,23,45,51,26,618,23,231,3,26,14,105,15,93,14,38,53,65
"동남구",광덕면,393,147,2467,1740,727,2,35,1,49,78,1329,-,-,6,90,20,106,83,164,27,92,88,203,1,2,3,26,13,17,3,6,3,23,2,23,8,71,8,67,8,19,39,145,559,196,2821,1992,829,15,55,2,49,94,1366,25,26,7,114,37,128,132,236,37,110,97,202,2,4,3,24,18,33,6,8,10,56,2,31,9,77,11,127,8,20,44,155,612,222,2709,1865,844,11,51,1,44,98,1287,41,41,7,113,50,110,136,236,35,107,109,192,3,4,3,19,21,43,7,10,11,51,2,27,12,72,10,130,8,19,47,153,641,230,3654,2670,984,13,45,1,35,102,1328,40,40,6,108,62,995,129,220,41,181,116,207,3,5,4,22,24,26,4,4,12,66,2,29,12,70,9,108,8,10,53,155,678,256,3354,2445,909,12,86,1,42,103,1365,39,39,7,87,64,578,147,238,39,179,119,209,5,7,8,26,24,27,5,5,10,53,2,28,13,74,9,108,8,15,63,188
"동남구",북면,289,110,1282,811,471,-,-,-,-,36,414,1,11,-,-,7,19,48,112,25,26,73,200,1,3,2,9,12,47,-,-,8,44,2,20,9,101,18,136,11,98,36,42,414,149,1365,850,515,3,3,-,-,46,387,18,26,1,1,31,69,83,155,33,33,79,201,2,4,2,10,19,32,3,3,10,51,2,23,11,76,18,145,12,96,41,50,449,152,1291,835,456,4,4,-,-,43,345,19,19,1,1,36,75,92,165,38,39,79,180,3,4,2,9,22,33,7,8,10,40,2,24,12,78,15,157,15,53,49,57,445,156,1394,922,472,5,15,-,-,47,415,24,24,1,1,37,75,80,154,37,39,83,204,2,4,2,9,20,33,5,9,10,39,2,24,9,73,16,133,15,74,50,69,483,174,1492,934,558,6,13,-,-,44,423,32,32,-,-,39,59,94,166,33,35,92,236,4,6,2,9,18,28,6,9,9,43,2,28,10,80,15,126,16,123,61,76
"동남구",성남면,607,149,5969,4569,1400,2,15,2,26,307,4487,-,-,6,10,20,145,87,265,44,230,45,141,2,46,1,8,8,13,6,6,14,153,3,18,8,77,8,90,9,186,35,53,1112,231,6745,5345,1400,5,21,1,8,381,4790,26,26,12,33,42,165,152,362,303,610,55,168,6,19,3,8,23,29,12,15,24,202,3,18,8,66,8,62,8,88,40,55,1172,240,7186,5601,1585,5,13,1,9,404,5224,44,44,11,30,47,160,161,397,312,575,50,174,6,21,1,6,23,28,14,25,24,174,3,19,8,74,8,68,9,86,41,59,1237,254,7997,6273,1724,5,32,1,12,428,5521,43,43,10,27,45,176,166,517,332,866,56,231,7,21,1,6,28,35,16,44,27,157,3,18,9,74,9,68,9,87,42,62,1321,301,8265,6428,1837,6,61,1,10,428,5886,100,100,12,36,54,194,183,576,327,586,59,282,7,22,1,6,31,35,13,45,24,113,3,18,10,73,9,68,10,95,43,59
