"소비자물가별(1)",2018,2019,2020,2021,2022,2023
"총지수",99.40,99.47,100.00,102.68,108.62,112.17
"식료품· 비주류음료",94.59,95.13,100.00,105.45,112.35,118.81
"주류· 담배",98.77,99.67,100.00,100.34,102.75,103.63
"의류·신발",99.76,99.76,100.00,100.55,103.64,110.70
"주택, 수도, 전기 및 연료",98.50,100.02,100.00,102.07,110.38,117.40
"가정용품 및 가사서비스",97.36,99.52,100.00,101.72,106.64,112.25
"보건",98.17,98.81,100.00,99.52,100.49,102.31
"교통",104.40,102.09,100.00,107.39,118.86,113.35
"통신",104.49,102.10,100.00,99.15,100.05,100.89
"오락 및 문화",101.26,100.66,100.00,100.49,103.64,107.07
"교육",104.97,101.53,100.00,99.38,99.95,102.27
"음식 및 숙박",97.04,99.11,100.00,102.53,109.72,115.62
"기타 상품 및 서비스",96.98,98.16,100.00,102.26,107.63,112.48
