"월별(1)",2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"월별(1)",집계 관광지수 (개),유료 관광지 방문객수 (명),유료 관광지 방문객수 (명),유료 관광지 방문객수 (명),무료 관광지 방문객수 (명),집계 관광지수 (개),유료 관광지 방문객수 (명),유료 관광지 방문객수 (명),유료 관광지 방문객수 (명),무료 관광지 방문객수 (명),집계 관광지수 (개),유료 관광지 방문객수 (명),유료 관광지 방문객수 (명),유료 관광지 방문객수 (명),무료 관광지 방문객수 (명),집계 관광지수 (개),유료 관광지 방문객수 (명),무료 관광지 방문객수 (명),집계 관광지수 (개),유료 관광지 방문객수 (명),무료 관광지 방문객수 (명),집계 관광지수 (개),유료 관광지 방문객수 (명),무료 관광지 방문객수 (명)
"월별(1)",소계,소계,내국인,외국인,소계,소계,소계,내국인,외국인,소계,소계,소계,내국인,외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",24,1653705,1648592,5113,5630965,38,2619545,2613201,6344,4830086,16,414162,413450,712,1107860,11,516268,1670083,11,804818,1970276,11,978937,2308330
"1월",24,153917,153812,105,263095,38,192872,192823,49,178284,16,96714,96189,525,114317,11,11602,76181,11,52708,104959,11,78892,124229
"2월",24,78123,77872,251,153399,38,120765,120621,144,212071,16,14258,14071,187,60528,11,22822,122640,11,43727,102402,11,75471,171518
"3월",24,77093,76888,205,320119,38,172458,171893,565,318552,16,13768,13768,-,32355,11,27676,124214,11,43357,128985,11,63430,203121
"4월",24,109395,108505,890,316989,38,238425,237953,472,328358,16,15089,15089,-,65729,11,44278,147512,11,53707,191681,11,86936,202082
"5월",24,151866,151332,534,507561,38,278725,278536,189,400916,16,20058,20058,-,119238,11,53452,164854,11,74089,195259,11,90017,215803
"6월",24,146275,145528,747,313502,38,260098,259943,155,263854,16,34882,34882,-,104990,11,46812,116974,11,61691,154382,11,83753,177357
"7월",24,220737,220559,178,457748,38,330350,329223,1127,395278,16,42577,42577,-,100746,11,52147,112536,11,87130,150045,11,89319,123722
"8월",24,261978,261744,234,491130,38,368882,367382,1500,464138,16,55188,55188,-,93472,11,55077,147272,11,85300,184520,11,103630,256737
"9월",24,109211,108649,562,1529202,38,176236,174970,1266,1467240,16,28036,28036,-,39488,11,38261,147721,11,68554,167432,11,76304,140726
"10월",24,126343,125812,531,423193,38,200476,200190,286,351164,16,42596,42596,-,165708,11,58589,218179,11,84638,297678,11,84462,338900
"11월",24,105840,105197,643,636656,38,142587,142178,409,320635,16,33126,33126,-,150877,11,53251,197456,11,68514,201516,11,67613,259933
"12월",24,112927,112694,233,218371,38,137671,137489,182,129596,16,17870,17870,-,60412,11,52301,94544,11,81403,91417,11,79110,94202
